epoch,train_loss,val_loss,best_val_loss,best_val_epoch,early_stop_epoch,test_accuracy_pct
1,2.1274,2.2119,1.5662,17,27,46.57
2,1.8883,2.0872,1.5662,17,27,46.57
3,1.7892,2.3744,1.5662,17,27,46.57
4,1.7188,1.9809,1.5662,17,27,46.57
5,1.6524,1.8275,1.5662,17,27,46.57
6,1.6057,2.0107,1.5662,17,27,46.57
7,1.5709,1.7067,1.5662,17,27,46.57
8,1.5334,1.6256,1.5662,17,27,46.57
9,1.5064,1.6407,1.5662,17,27,46.57
10,1.4800,1.6136,1.5662,17,27,46.57
11,1.4548,1.6559,1.5662,17,27,46.57
12,1.4339,1.5985,1.5662,17,27,46.57
13,1.4130,1.6334,1.5662,17,27,46.57
14,1.3921,1.6127,1.5662,17,27,46.57
15,1.3727,1.6458,1.5662,17,27,46.57
16,1.3557,1.5998,1.5662,17,27,46.57
17,1.3379,1.5662,1.5662,17,27,46.57
18,1.3238,1.5689,1.5662,17,27,46.57
19,1.3035,1.5964,1.5662,17,27,46.57
20,1.2873,1.5853,1.5662,17,27,46.57
21,1.2734,1.8322,1.5662,17,27,46.57
22,1.2608,1.6298,1.5662,17,27,46.57
23,1.2386,1.7452,1.5662,17,27,46.57
24,1.2322,1.6798,1.5662,17,27,46.57
25,1.2091,1.6606,1.5662,17,27,46.57
26,1.1873,1.6389,1.5662,17,27,46.57
27,1.1846,1.6141,1.5662,17,27,46.57
