epoch,train_loss,val_loss,best_val_loss,best_val_epoch,early_stop_epoch,test_accuracy_pct
1,1.8929,1.8439,1.4922,15,25,50.42
2,1.6945,1.7519,1.4922,15,25,50.42
3,1.6028,1.7058,1.4922,15,25,50.42
4,1.5355,1.7785,1.4922,15,25,50.42
5,1.4832,1.6785,1.4922,15,25,50.42
6,1.4340,1.6988,1.4922,15,25,50.42
7,1.3892,1.5677,1.4922,15,25,50.42
8,1.3538,1.6186,1.4922,15,25,50.42
9,1.3187,1.5980,1.4922,15,25,50.42
10,1.2869,1.5199,1.4922,15,25,50.42
11,1.2547,1.5237,1.4922,15,25,50.42
12,1.2315,1.6090,1.4922,15,25,50.42
13,1.1989,1.5109,1.4922,15,25,50.42
14,1.1863,1.5275,1.4922,15,25,50.42
15,1.1561,1.4922,1.4922,15,25,50.42
16,1.1298,1.5977,1.4922,15,25,50.42
17,1.1159,1.5795,1.4922,15,25,50.42
18,1.0864,1.5267,1.4922,15,25,50.42
19,1.2659,1.7453,1.4922,15,25,50.42
20,1.3966,1.5253,1.4922,15,25,50.42
21,1.2240,1.5493,1.4922,15,25,50.42
22,1.1415,1.5447,1.4922,15,25,50.42
23,1.0831,1.5552,1.4922,15,25,50.42
24,1.0367,1.5743,1.4922,15,25,50.42
25,1.0149,1.5874,1.4922,15,25,50.42
